Name	Package	Protection
android.permission.BIND_TRANSLATION_SERVICE	android	2
android.permission.RETRIEVE_WINDOW_TOKEN	android	2
android.permission.BIND_ROTATION_RESOLVER_SERVICE	android	2
android.permission.MAKE_UID_VISIBLE	android	2
android.permission.REQUEST_COMPANION_START_FOREGROUND_SERVICES_FROM_BACKGROUND	android	
android.permission.BIND_AUTOFILL	android	2
com.google.android.gms.learning.permission.LAUNCH_IN_APP_PROXY	com.google.android.gms	2
android.permission.LOCK_DEVICE	android	18
android.permission.NETWORK_SETTINGS	android	2
android.permission.MANAGE_AUDIO_POLICY	android	2
com.google.android.googleapps.permission.GOOGLE_AUTH.writely	com.google.android.gsf	2
android.permission.NETWORK_SCAN	android	18
com.google.android.gms.permission.SEND_ANDROID_PAY_DATA	com.google.android.gms	2
com.google.android.apps.tycho.permission.INTERNAL_BROADCAST	com.google.android.apps.tycho	2
android.permission.MANAGE_WIFI_COUNTRY_CODE	android	2
android.permission.BODY_SENSORS	android	1
com.google.android.gm.permission.AUTO_SEND	com.google.android.gm	2
android.permission.CHANGE_OVERLAY_PACKAGES	android	18
android.permission.BIND_WALLPAPER	android	18
vendor.android.permission.BIND_OEMRILHOOK	com.samsung.slsi.telephony.oem.oemrilhookservice	18
android.permission.START_ANY_ACTIVITY	android	2
android.permission.SEND_DEVICE_CUSTOMIZATION_READY	android	18
android.permission.CAMERA_SEND_SYSTEM_EVENTS	android	18
android.permission.ACCESS_TUNED_INFO	android	32786
com.google.android.gms.permission.CAR_SPEED	com.google.android.gms	1
com.google.android.apps.now.OPT_IN_WIZARD	com.google.android.googlequicksearchbox	18
com.google.android.gms.auth.authzen.permission.GCM_DEVICE_PROXIMITY	com.google.android.gms	2
com.verizon.mips.services.install_status_permission	com.verizon.mips.services	18
com.google.android.apps.play.movies.common.permission.MOCK_FCM_RECEIVE	com.google.android.videos	2
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS	com.android.providers.downloads	2
android.permission.READ_GLOBAL_APP_SEARCH_DATA	android	67108868
com.google.android.googlequicksearchbox.permission.FINISH_GEL_ACTIVITY	com.google.android.googlequicksearchbox	2
androidx.core.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.carrierlocation	2
com.android.shell.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.android.shell	2
android.permission.GET_PROCESS_STATE_AND_OOM_SCORE	android	50
android.permission.BROADCAST_SMS	android	2
android.permission.CALL_PRIVILEGED	android	18
android.permission.BIND_INTENT_FILTER_VERIFIER	android	2
android.permission.BYPASS_ROLE_QUALIFICATION	android	67108868
android.permission.READ_PHONE_NUMBERS	android	4097
android.permission.MANAGE_APP_TOKENS	android	2
android.permission.CHANGE_NETWORK_STATE	android	
android.permission.CAPTURE_TV_INPUT	android	18
android.permission.MASTER_CLEAR	android	67108882
android.permission.FOREGROUND_SERVICE	android	4096
android.permission.PERSISTENT_ACTIVITY	android	
android.permission.BIND_TELECOM_CONNECTION_SERVICE	android	18
android.permission.WRITE_SYNC_SETTINGS	android	
com.google.android.providers.gsf.permission.WRITE_GSERVICES	com.google.android.gsf	2
com.google.android.apps.recorder.permission.RECORDER_ORIGIN	com.google.android.apps.recorder	2
android.permission.ALLOW_PLACE_IN_MULTI_PANE_SETTINGS	android	2
android.permission.MANAGE_DYNAMIC_SYSTEM	android	2
android.permission.CLEAR_FREEZE_PERIOD	android	2
com.google.android.wallpaper.effects.GENERATE_EFFECT	com.google.android.wallpaper.effects	1026
android.permission.SET_DEBUG_APP	android	50
android.permission.REQUEST_COMPANION_USE_DATA_IN_BACKGROUND	android	
com.zhiliaoapp.musically.permission.READ_ACCOUNT	com.zhiliaoapp.musically	2
com.android.systemui.permission.SEND_ALERT_BROADCASTS	com.android.systemui	1026
com.google.android.storagemanager.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.storagemanager	2
android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY	android	2
android.permission.LAUNCH_MULTI_PANE_SETTINGS_DEEP_LINK	android	1026
android.permission.RESET_SHORTCUT_MANAGER_THROTTLING	android	2
com.google.android.googleapps.permission.GOOGLE_AUTH.notebook	com.google.android.gsf	2
android.permission.RESET_FINGERPRINT_LOCKOUT	android	2
android.permission.STATSCOMPANION	android	2
android.permission.INSTALL_TEST_ONLY_PACKAGE	android	2
android.permission.MANAGE_ACTIVITY_TASKS	android	33554434
android.permission.MONITOR_DEVICE_CONFIG_ACCESS	android	2
android.permission.RECEIVE_BOOT_COMPLETED	android	
com.android.phone.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.android.phone	2
com.google.android.pixelnfc.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.pixelnfc	2
com.android.stk.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.android.stk	2
com.shannon.rcsservice.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.shannon.rcsservice	2
com.google.android.googlequicksearchbox.permission.LENS_SERVICE	com.google.android.googlequicksearchbox	
android.permission.MANAGE_WEAK_ESCROW_TOKEN	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH	com.google.android.gsf	2
android.permission.LOOP_RADIO	android	18
android.permission.GLOBAL_SEARCH_CONTROL	android	2
android.permission.REQUEST_COMPANION_PROFILE_APP_STREAMING	android	18
android.permission.SUBSCRIBED_FEEDS_READ	android	
com.google.android.gms.permission.NEARBY_START_DISCOVERER	com.google.android.gms	2
android.permission.LISTEN_ALWAYS_REPORTED_SIGNAL_STRENGTH	android	67108866
android.permission.MANAGE_CONTENT_CAPTURE	android	2
android.permission.KEEP_UNINSTALLED_PACKAGES	android	2
com.google.android.gms.auth.permission.POST_SIGN_IN_ACCOUNT	com.google.android.gms	2
android.permission.MANAGE_BIND_INSTANT_SERVICE	android	2
android.permission.MANAGE_ROLE_HOLDERS	android	258
android.permission.UPDATE_FONTS	android	18
android.permission.CONTROL_DEVICE_LIGHTS	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES	com.google.android.gsf	2
android.permission.PEERS_MAC_ADDRESS	android	67110914
android.permission.DEVICE_POWER	android	67108866
android.permission.HIGH_SAMPLING_RATE_SENSORS	android	
android.permission.NEARBY_WIFI_DEVICES	android	1
com.google.android.providers.settings.permission.READ_GSETTINGS	com.google.android.gsf	2
android.permission.BIND_CALL_REDIRECTION_SERVICE	android	18
android.permission.MANAGE_GAME_ACTIVITY	android	18
android.permission.WHITELIST_AUTO_REVOKE_PERMISSIONS	android	258
android.permission.RECEIVE_MMS	android	1
android.permission.RECEIVE_SMS	android	1
com.google.android.gms.cloudsave.BIND_EVENT_BROADCAST	com.google.android.gms	18
com.android.vending.permission.C2D_MESSAGE	com.android.vending	2
android.permission.SET_TIME_ZONE	android	67108882
android.permission.BIND_TV_INTERACTIVE_APP	android	18
com.customermobile.preload.StartOnBoot.PERMISSION	com.customermobile.preload.vzw	2
android.permission.REMOVE_TASKS	android	100663298
android.permission.READ_PRINT_SERVICES	android	1026
com.google.android.ambientindication.permission.AMBIENT_INDICATION	com.android.systemui	18
android.permission.MANAGE_SUBSCRIPTION_PLANS	android	18
com.google.android.apps.nexuslauncher.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.apps.nexuslauncher	2
android.permission.SMS_FINANCIAL_TRANSACTIONS	android	66
com.google.android.googlequicksearchbox.permission.PAUSE_HOTWORD	com.google.android.googlequicksearchbox	18
android.permission.EXPAND_STATUS_BAR	android	
com.google.android.setupwizard.READ_DEFERRED_SETUP_REASON	com.google.android.setupwizard	18
com.android.launcher.permission.UNINSTALL_SHORTCUT	android	
android.permission.ACCESS_RCS_USER_CAPABILITY_EXCHANGE	android	67108868
android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS	android	67108866
android.permission.BLUETOOTH_CONNECT	android	1
com.google.android.permission.USE_CBRS_MONITOR	com.google.android.apps.cbrsnetworkmonitor	18
android.permission.PACKAGE_ROLLBACK_AGENT	android	2
com.google.android.googlequicksearchbox.permission.LAUNCH_FROM_GMM	com.google.android.googlequicksearchbox	2
android.permission.USE_ICC_AUTH_WITH_DEVICE_IDENTIFIER	android	66
android.permission.BIND_TRACE_REPORT_SERVICE	android	2
com.google.android.gms.permission.REPORT_TAP	com.google.android.gms	2
android.permission.RESTART_WIFI_SUBSYSTEM	android	18
android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS	android	
android.permission.READ_PROFILE	android	
android.permission.BIND_VOICE_INTERACTION	android	2
com.google.android.gtalkservice.permission.SEND_HEARTBEAT	com.google.android.gsf	18
com.qorvo.uwb.permission.SE_STATE_REQUEST	com.qorvo.uwb.vendorservice	2
android.permission.BLUETOOTH	android	
android.permission.BROADCAST_WAP_PUSH	android	2
android.permission.CHANGE_WIFI_MULTICAST_STATE	android	
