Last Access Date	Host	Name	Value	Created Date	Expiration Date	Path
2023-05-02 03:37:28	www.clarity.ms	CLID	7880d2bd4dcc4614a6a6b0f1fb906b7a.20230501.20240501	2023-05-02 03:37:28	2024-05-01 03:37:28	/
2023-05-02 03:37:32	.c.bing.com	MR	0	2023-05-02 03:37:32	2023-05-09 03:37:32	/
2023-05-02 03:37:32	.c.clarity.ms	MR	0	2023-05-02 03:37:32	2023-05-09 03:37:33	/
2023-05-02 03:37:32	.bing.com	MUID	16BB0685B2FB645B05E61581B36765B6	2023-05-01 13:51:40	2024-05-26 03:37:32	/
2023-05-02 03:37:32	.clarity.ms	MUID	16BB0685B2FB645B05E61581B36765B6	2023-05-02 03:37:32	2024-05-26 03:37:33	/
2023-05-02 05:22:52	.google.com	SNID	AP5Nx0U24pq-Nx6WWY4blq5dA3vA6L28XEqh6XKN59A8AcEI6fyouUizlSat09aEQVK0pJ-At_SrcbmU72kg0oqa82nV	2023-05-02 03:37:34	2023-11-01 03:37:19	/verify
2023-05-02 03:37:32	.c.bing.com	SRM_B	16BB0685B2FB645B05E61581B36765B6	2023-05-02 03:37:32	2024-05-26 03:37:32	/
2023-05-02 03:37:28	.harrisfarm.com.au	_clck	1bupm4h|1|fb9|0	2023-05-02 03:37:28	2024-05-01 03:37:28	/
2023-05-02 03:37:30	.harrisfarm.com.au	_clsk	tfcg6b|1682998650961|1|1|z.clarity.ms/collect	2023-05-02 03:37:30	2023-05-03 03:37:30	/
2023-05-02 03:37:29	.harrisfarm.com.au	_cmp_a	%7B%22purposes%22%3A%7B%22a%22%3Atrue%2C%22p%22%3Atrue%2C%22m%22%3Atrue%2C%22t%22%3Atrue%7D%2C%22display_banner%22%3Afalse%2C%22merchant_geo%22%3A%22AU%22%2C%22sale_of_data_region%22%3Afalse%7D	2023-05-01 13:51:36	2023-05-03 03:37:29	/
2023-05-02 03:37:19	.toybox.com	_cmp_a	%7B%22purposes%22%3A%7B%22a%22%3Atrue%2C%22p%22%3Atrue%2C%22m%22%3Atrue%2C%22t%22%3Atrue%7D%2C%22display_banner%22%3Afalse%2C%22merchant_geo%22%3A%22US%22%2C%22sale_of_data_region%22%3Afalse%7D	2023-05-01 14:35:59	2023-05-03 03:37:19	/
